filename,length,num_points,has_plan,plan_length,episode_id
trajectory_779250011612.json,18.30105415589146,50,True,912,749400011167.0
trajectory_632500009425.json,19.841513185714795,50,True,996,599300008930.0
trajectory_649550009679.json,20.224913538212014,50,True,443,599300008930.0
trajectory_512700007640.json,16.57396946399743,50,True,16,467100006960.0
trajectory_381900005691.json,7.234142762468222,50,True,181,374050005574.0
trajectory_145250002164.json,11.158639096976032,50,True,2,79600001186.0
trajectory_353350005265.json,0.10928532381458694,50,True,246,348350005191.0
trajectory_405900006048.json,13.156236621225156,50,True,5,389600005805.0
trajectory_330300004922.json,0.00010418769356652505,50,True,125,319750004765.0
trajectory_768550011452.json,10.871418685184526,50,True,1185,749400011167.0
trajectory_419900006257.json,7.9707671841466015,50,True,258,419050006244.0
trajectory_625700009324.json,15.137232924723783,50,True,1198,599300008930.0
trajectory_488600007281.json,12.4329143052396,50,True,515,467100006960.0
trajectory_388900005795.json,6.630692351232436,50,True,1,374050005574.0
trajectory_722350010764.json,0.008009167442867391,50,True,510,709950010579.0
trajectory_730350010883.json,0.06253321235279619,50,True,49,722800010771.0
trajectory_409400006101.json,10.573442113213883,50,True,4,389600005805.0
trajectory_622600009277.json,12.578247790153835,50,True,1301,599300008930.0
trajectory_652600009724.json,20.361316127065756,50,True,341,599300008930.0
trajectory_754800011247.json,1.5751082149222324,50,True,1634,749400011167.0
trajectory_631000009403.json,18.992073215015463,50,True,1043,599300008930.0
trajectory_777700011589.json,17.153864146082434,50,True,958,749400011167.0
trajectory_714200010642.json,0.06842114831338775,50,True,510,709950010579.0
trajectory_624600009307.json,14.267964502738518,50,True,1233,599300008930.0
trajectory_411400006130.json,9.167941940549822,50,True,4,389600005805.0
trajectory_202600003019.json,8.962143025451061,50,True,536,194050002892.0
trajectory_772600011513.json,13.767142591264514,50,True,1090,749400011167.0
trajectory_408400006086.json,11.423479769868532,50,True,4,389600005805.0
trajectory_326800004870.json,9.800995714035256e-05,50,True,125,319750004765.0
trajectory_514700007670.json,15.249934157162295,50,True,1,467100006960.0
trajectory_678100010104.json,7.8839116891970145,50,True,2,599300008930.0
trajectory_88400001317.json,4.06426552891031,50,True,1341,79600001186.0
trajectory_604450009007.json,6.4619919011369085,50,True,1800,599300008930.0
trajectory_664100009896.json,19.204472988332245,50,True,4,599300008930.0
trajectory_646550009634.json,20.46364477683427,50,True,537,599300008930.0
trajectory_777250011582.json,16.90259851270849,50,True,968,749400011167.0
trajectory_348850005198.json,0.00011545371834441586,50,True,82,348350005191.0
trajectory_389900005810.json,6.631359931117514,50,True,4,389600005805.0
trajectory_671600010008.json,13.210923885025917,50,True,2,599300008930.0
trajectory_503200007498.json,18.558353857464546,50,True,209,467100006960.0
trajectory_643000009581.json,19.95196483940446,50,True,644,599300008930.0
trajectory_404400006026.json,13.306686222153012,50,True,40,389600005805.0
